OSM_ID,Street_Name,Latitude,Longitude,Category
87314766,Allerton Road,-29.5758668,30.3610622,English
44359009,Alleydale Place,-29.778192,30.9639536,English
89068569,Allison Road,-29.6131671,30.4012496,English
107915354,Allkins Drive,-30.3249771,30.734295,English
44461077,Ally Road,-29.9716602,30.9357399,English
58515989,Almond Avenue,-29.7768933,30.8802656,English
58516531,Almond Close,-29.7763481,30.8810334,English
45668872,Almond Lane,-29.6592371,31.0104611,English
43672597,Almond Road,-29.926598,30.9320588,English
39724424,Alms Place,-29.8452843,30.9653988,English
58516096,Aloe Avenue,-29.776755,30.8870856,English
627366691,Aloe Close,-29.5164331,31.217326,English
45668964,Aloe Drive,-29.6598872,31.0450112,English
417211510,Aloe Place,-29.4514946,31.2124736,English
42897098,Aloe Road,-29.8252964,30.844083,English
45094601,Aloe Street,-30.2094304,30.7621914,English
38142274,Alpaca Place,-29.823063,30.9684896,English
39344340,Alpha Close,-29.8924607,30.9804625,English
171651678,Alpha Street,-28.1775167,30.1468298,English
44446269,Alphen Avenue,-29.9122459,30.9685902,English
44099293,Alpine Drive,-29.8849713,30.8775901,English
42897563,Alpine Place,-29.80563,30.8631139,English
25006776,Alpine Road,-29.8196956,30.9993413,English
167796730,Alpine Way,-30.8257171,30.3898613,English
118761544,Altair Avenue,-29.5972186,30.3579463,English
45082568,Altcar Place,-29.9441417,30.9793495,English
41571038,Althea Road,-29.8310629,30.9247243,English
48782160,Alton Road,-29.8759569,30.9761981,English
48610662,Altona Avenue,-29.8011298,31.0163563,English
45881307,Alverstone Place,-29.7047676,30.9824241,English
32458594,Alverstone Road,-29.7627883,30.7241618,English
43672152,Alviera Place,-29.9060344,30.869451,English
45082569,Alwar Road,-29.9525204,30.968053,English
42897502,Alwyn Place,-29.8288605,30.8830789,English
100607880,Amcor Road,-27.7570945,29.9408501,English
44102667,Amdokwe Street,-29.8752839,30.8233462,English
119291398,Ameer Road,-28.0158517,30.0581185,English
44359088,Amen Street,-29.7701469,30.9440177,English
45446614,Amethyst Drive,-29.5819564,31.0857091,English
42644303,Amethyst Place,-29.8706568,30.8923581,English
94078248,Amethyst drive,-27.7255646,29.9463733,English
94093484,Amiel Road,-27.7443885,29.924895,English
44461086,Amilcar Cabral Road,-29.9965041,30.9440104,English
45095127,Amlock Drive,-29.7944468,30.9738191,English
