Street,Ground Truth,DTW Distance,Normalized DTW,Similarity,System Pitch,Ground Truth Pitch,System Duration,Ground Truth Duration,System Energy,Ground Truth Energy,PAS
Ngqwele_Road,gt3.wav,19805.61262306288,244.51373608719604,0.004073091860102,183.2062056328467,108.04965976060052,0.768,2.58,0.1683173179626464,0.0236969664692878,0.4073091860102
Ngqwele_Road,gt4.wav,16000.429178405786,219.18396134802447,0.0045416568667296,183.2062056328467,144.2785459263397,0.768,2.28,0.1683173179626464,0.0415187403559684,0.45416568667296003
Ngqwele_Road,gt5.wav,15222.891758311642,192.69483238369168,0.0051627603467452,183.2062056328467,149.09623352169385,0.768,2.525,0.1683173179626464,0.0572710931301116,0.51627603467452
Ngqwele_Road,gt6.wav,14495.374410743294,245.6843120464965,0.0040537640667296,183.2062056328467,112.43197124836556,0.768,1.86,0.1683173179626464,0.0313439108431339,0.40537640667296
Ngqwele_Road,gt7.wav,16136.780370298133,227.2785967647624,0.004380612173775,183.2062056328467,110.85661948943398,0.768,2.22,0.1683173179626464,0.0369564592838287,0.43806121737750003
Ngqwele_Road,gt8.wav,19824.853156734567,250.9475083130958,0.0039690807291386,183.2062056328467,243.6371037611256,0.768,2.52,0.1683173179626464,0.0571514628827571,0.39690807291386
Njokweni_Crescent,gt1.wav,24812.017899937706,196.92077698363255,0.0050525266484917,195.37068116534405,181.42224212537008,1.12,3.87,0.2098466604948043,0.0389223508536815,0.5052526648491701
Njokweni_Crescent,gt2.wav,28658.029051291363,232.99210610805983,0.0042736484432435,195.37068116534405,168.60139090478972,1.12,3.9075,0.2098466604948043,0.0040031285025179,0.42736484432434996
Njokweni_Crescent,gt3.wav,17912.28670743937,279.87947980374014,0.0035602458417351,195.37068116534405,122.70715405893311,1.12,2.04,0.2098466604948043,0.0281054452061653,0.35602458417351
Njokweni_Crescent,gt4.wav,17636.280006801222,187.62000007235343,0.0053016647206892,195.37068116534405,200.23191146058505,1.12,2.995,0.2098466604948043,0.0746584981679916,0.5301664720689201
Njokweni_Crescent,gt5.wav,16454.52534047087,191.33169000547525,0.0051993511832165,195.37068116534405,146.38746652376526,1.12,2.7,0.2098466604948043,0.0332153253257274,0.51993511832165
Ntunjambili_Street,gt1.wav,24099.221211996744,264.82660672523895,0.003761850675217,192.13639456803853,125.23244081720529,1.173375,2.82,0.1562884896993637,0.0317373983561992,0.3761850675217
Ntunjambili_Street,gt2.wav,31463.052080959435,260.0252238095821,0.003831047380806,192.13639456803853,95.885366908958,1.173375,3.84,0.1562884896993637,0.0277343858033418,0.3831047380806
Ntunjambili_Street,gt3.wav,16944.452097268095,245.57176952562455,0.0040556143224501,192.13639456803853,140.8138884243439,1.173375,2.1,0.1562884896993637,0.0258207321166992,0.40556143224501007
