OSM_ID,Street_Name,Latitude,Longitude
47710681,107648 Street,-29.7125477,30.9257258
48391592,107721 Street,-29.7932262,31.0034226
44215829,107727 Street,-29.9430085,30.9190866
44216007,107728 Street,-29.9415301,30.9196012
44215808,107729 Street,-29.9418233,30.9197898
44215809,107730 Street,-29.9388192,30.9198605
44215830,107731 Street,-29.940641,30.9210833
44215831,107732 Street,-29.9391461,30.9196652
44215827,107733 Street,-29.9414442,30.9184788
44215832,107734 Street,-29.9393457,30.9214763
44216166,107744 Street,-30.0013676,30.8839421
44216172,107772 Street,-29.9463614,30.9110614
44216022,107773 Street,-29.9449241,30.9143308
44216026,107774 Street,-29.9455943,30.9127333
44216027,107775 Street,-29.944692,30.9137623
44216030,107776 Street,-29.9451255,30.9137122
44215968,107777 Street,-29.9440216,30.9144554
44215804,107778 Street,-29.9423848,30.9150906
44215791,107779 Street,-29.9440055,30.9157564
44214144,107781 Street,-29.9388241,30.9178378
44216053,107782 Street,-29.9418186,30.9165255
